,Unnamed: 0,Article_Title,Label,Link,article
0,0,Absolute Value,1,https://en.wikipedia.org/wiki/Absolute_value," in mathematics, the absolute value or modulus of a real number x {\displaystyle x} , denoted | x | {\displaystyle |x|} , is the non-negative value of x {\displaystyle x} without regard to its sign. namely, | x | = x {\displaystyle |x|=x} if x is a positive number, and | x | = − x {\displaystyle |x|=-x} if x {\displaystyle x} is negative (in which case negating x {\displaystyle x} makes − x {\displaystyle -x} positive), and |   | =   {\displaystyle | |= } . for example, the absolute value of   is  , and the absolute value of −  is also  . the absolute value of a number may be thought of as its distance from zero. generalisations of the absolute value for real numbers occur in a wide variety of mathematical settings. for example, an absolute value is also defined for the complex numbers, the quaternions, ordered rings, fields and vector spaces. the absolute value is closely related to the notions of magnitude, distance, and norm in various mathematical and physical contexts. in     , jean-robert argand introduced the term module, meaning unit of measure in french, specifically for the complex absolute value, and it was borrowed into english in      as the latin equivalent modulus. the term absolute value has been used in this sense from at least      in french and      in english. the notation |x|, with a vertical bar on each side, was introduced by karl weierstrass in     . other names for absolute value include numerical value and magnitude. in programming languages and computational software packages, the absolute value of x is generally represented by abs(x), or a similar expression. the vertical bar notation also appears in a number of other mathematical contexts: for example, when applied to a set, it denotes its cardinality; when applied to a matrix, it denotes its determinant. vertical bars denote the absolute value only for algebraic objects for which the notion of an absolute value is defined, notably an element of a normed division algebra, for example a real number, a complex number, or a quaternion. a closely related but distinct notation is the use of vertical bars for either the euclidean norm or sup norm of a vector in r n {\displaystyle \mathbb {r} ^{n}} , although double vertical bars with subscripts ( ‖ ⋅ ‖   {\displaystyle \|\cdot \|_{ }} and ‖ ⋅ ‖ ∞ {\displaystyle \|\cdot \|_{\infty }} , respectively) are a more common and less ambiguous notation. for any real number x {\displaystyle x} , the absolute value or modulus of x {\displaystyle x} is denoted by | x | {\displaystyle |x|} , with a vertical bar on each side of the quantity, and is defined as the absolute value of x {\displaystyle x} is thus always either a positive number or zero, but never negative. when x {\displaystyle x} itself is negative ( x <   {\displaystyle x< } ), then its absolute value is necessarily positive ( | x | = − x >   {\displaystyle |x|=-x> } ). from an analytic geometry point of view, the absolute value of a real number is that number's distance from zero along the real number line, and more generally the absolute value of the difference of two real numbers is the distance between them. the notion of an abstract distance function in mathematics can be seen to be a generalisation of the absolute value of the difference (see ""distance"" below). since the square root symbol represents the unique positive square root, when applied to a positive number, it follows that the absolute value has the following four fundamental properties (a, b are real numbers), that are used for generalization of this notion to other domains: "
1,1,addition theorem,1,https://en.wikipedia.org/wiki/Addition_theorem,"in mathematics, an addition theorem is a formula such as that for the exponential function: that expresses, for a particular function f, f(x + y) in terms of f(x) and f(y). slightly more generally, as is the case with the trigonometric functions sin and cos, several functions may be involved; this is more apparent than real, in that case, since there cos is an algebraic function of sin (in other words, we usually take their functions both as defined on the unit circle). the scope of the idea of an addition theorem was fully explored in the nineteenth century, prompted by the discovery of the addition theorem for elliptic functions. to ""classify"" addition theorems it is necessary to put some restriction on the type of function g admitted, such that in this identity one can assume that f and g are vector-valued (have several components). an algebraic addition theorem is one in which g can be taken to be a vector of polynomials, in some set of variables. the conclusion of the mathematicians of the time was that the theory of abelian functions essentially exhausted the interesting possibilities: considered as a functional equation to be solved with polynomials, or indeed rational functions or algebraic functions, there were no further types of solution. in more contemporary language this appears as part of the theory of algebraic groups, dealing with commutative groups. the connected, projective variety examples are indeed exhausted by abelian functions, as is shown by a number of results characterising an abelian variety by rather weak conditions on its group law. the so-called quasi-abelian functions are all known to come from extensions of abelian varieties by commutative affine group varieties. therefore, the old conclusions about the scope of global algebraic addition theorems can be said to hold. a more modern aspect is the theory of formal groups. "
2,2,Adjoint of a matrix,2,https://en.wikipedia.org/wiki/Adjugate_matrix,"in linear algebra, the adjugate or classical adjoint of a square matrix is the transpose of its cofactor matrix. it is also occasionally known as adjunct matrix, though this nomenclature appears to have decreased in usage. the adjugate has sometimes been called the ""adjoint"", but today the ""adjoint"" of a matrix normally refers to its corresponding adjoint operator, which is its conjugate transpose. the adjugate of a is the transpose of the cofactor matrix c of a, in more detail, suppose r is a unital commutative ring and a is an n × n matrix with entries from r. the (i, j)-minor of a, denoted mij, is the determinant of the (n −  ) × (n −  ) matrix that results from deleting row i and column j of a. the cofactor matrix of a is the n × n matrix c whose (i, j) entry is the (i, j) cofactor of a, which is the (i, j)-minor times a sign factor: the adjugate of a is the transpose of c, that is, the n × n matrix whose (i, j) entry is the (j, i) cofactor of a, the adjugate is defined as it is so that the product of a with its adjugate yields a diagonal matrix whose diagonal entries are the determinant det(a). that is, where i is the n × n identity matrix. this is a consequence of the laplace expansion of the determinant. the above formula implies one of the fundamental results in matrix algebra, that a is invertible if and only if det(a) is an invertible element of r. when this holds, the equation above yields the adjugate of any non-zero   ×   matrix (complex scalar) is i = [   ] {\displaystyle \mathbf {i} ={\begin{bmatrix} \end{bmatrix}}} . by convention, adj( ) =  . the adjugate of the   ×   matrix "
3,3,Algebra of sets,2,https://en.wikipedia.org/wiki/Algebra_of_sets,"in mathematics, the algebra of sets, not to be confused with the mathematical structure of an algebra of sets, defines the properties and laws of sets, the set-theoretic operations of union, intersection, and complementation and the relations of set equality and set inclusion. it also provides systematic procedures for evaluating expressions, and performing calculations, involving these operations and relations. any set of sets closed under the set-theoretic operations forms a boolean algebra with the join operator being union, the meet operator being intersection, the complement operator being set complement, the bottom being ∅ {\displaystyle \varnothing } and the top being the universe set under consideration. the algebra of sets is the set-theoretic analogue of the algebra of numbers. just as arithmetic addition and multiplication are associative and commutative, so are set union and intersection; just as the arithmetic relation ""less than or equal"" is reflexive, antisymmetric and transitive, so is the set relation of ""subset"". it is the algebra of the set-theoretic operations of union, intersection and complementation, and the relations of equality and inclusion. for a basic introduction to sets see the article on sets, for a fuller account see naive set theory, and for a full rigorous axiomatic treatment see axiomatic set theory. the binary operations of set union ( ∪ {\displaystyle \cup } ) and intersection ( ∩ {\displaystyle \cap } ) satisfy many identities. several of these identities or ""laws"" have well established names. the union and intersection of sets may be seen as analogous to the addition and multiplication of numbers. like addition and multiplication, the operations of union and intersection are commutative and associative, and intersection distributes over union. however, unlike addition and multiplication, union also distributes over intersection. two additional pairs of properties involve the special sets called the empty set ø and the universe set u {\displaystyle u} ; together with the complement operator ( a c {\displaystyle a^{c}} denotes the complement of a {\displaystyle a} . this can also be written as a ′ {\displaystyle a'} , read as a prime). the empty set has no members, and the universe set has all possible members (in a particular context). the identity expressions (together with the commutative expressions) say that, just like   and   for addition and multiplication, ø and u are the identity elements for union and intersection, respectively. unlike addition and multiplication, union and intersection do not have inverse elements. however the complement laws give the fundamental properties of the somewhat inverse-like unary operation of set complementation. the preceding five pairs of formulae—the commutative, associative, distributive, identity and complement formulae—encompass all of set algebra, in the sense that every valid proposition in the algebra of sets can be derived from them. "
4,4,Algorithm,2,https://en.wikipedia.org/wiki/Algorithm," in mathematics and computer science, an algorithm (/ˈælɡərɪðəm/ (listen)) is a finite sequence of well-defined instructions, typically used to solve a class of specific problems or to perform a computation. algorithms are used as specifications for performing calculations and data processing. by making use of artificial intelligence, algorithms can perform automated deductions (referred to as automated reasoning) and use mathematical and logical tests to divert the code through various routes (referred to as automated decision-making). using human characteristics as descriptors of machines in metaphorical ways was already practiced by alan turing with terms such as ""memory"", ""search"" and ""stimulus"". in contrast, a heuristic is an approach to problem solving that may not be fully specified or may not guarantee correct or optimal results, especially in problem domains where there is no well-defined correct or optimal result. as an effective method, an algorithm can be expressed within a finite amount of space and time, and in a well-defined formal language for calculating a function. starting from an initial state and initial input (perhaps empty), the instructions describe a computation that, when executed, proceeds through a finite number of well-defined successive states, eventually producing ""output"" and terminating at a final ending state. the transition from one state to the next is not necessarily deterministic; some algorithms, known as randomized algorithms, incorporate random input. the concept of algorithm has existed since antiquity. arithmetic algorithms, such as a division algorithm, were used by ancient babylonian mathematicians c.      bc and egyptian mathematicians c.      bc. greek mathematicians later used algorithms in     bc in the sieve of eratosthenes for finding prime numbers, and the euclidean algorithm for finding the greatest common divisor of two numbers. arabic mathematicians such as al-kindi in the  th century used cryptographic algorithms for code-breaking, based on frequency analysis. the word algorithm is derived from the name of the  th-century persian mathematician muḥammad ibn mūsā al-khwārizmī, whose nisba (identifying him as from khwarazm) was latinized as algoritmi (arabized persian الخوارزمی c.    –   ). muḥammad ibn mūsā al-khwārizmī was a mathematician, astronomer, geographer, and scholar in the house of wisdom in baghdad, whose name means 'the native of khwarazm', a region that was part of greater iran and is now in uzbekistan. about    , al-khwarizmi wrote an arabic language treatise on the hindu–arabic numeral system, which was translated into latin during the   th century. the manuscript starts with the phrase dixit algorizmi ('thus spake al-khwarizmi'), where ""algorizmi"" was the translator's latinization of al-khwarizmi's name. al-khwarizmi was the most widely read mathematician in europe in the late middle ages, primarily through another of his books, the algebra. in late medieval latin, algorismus, english 'algorism', the corruption of his name, simply meant the ""decimal number system"". in the   th century, under the influence of the greek word ἀριθμός (arithmos), 'number' (cf. 'arithmetic'), the latin word was altered to algorithmus, and the corresponding english term 'algorithm' is first attested in the   th century; the modern sense was introduced in the   th century. indian mathematics was predominantly algorithmic. algorithms that are representative of the indian mathematical tradition range from the ancient śulbasūtrās to the medieval texts of the kerala school. in english, the word algorithm was first used in about      and then by chaucer in     . english adopted the french term, but it was not until the late   th century that ""algorithm"" took on the meaning that it has in modern english. another early use of the word is from     , in a manual titled carmen de algorismo composed by alexandre de villedieu. it begins with: haec algorismus ars praesens dicitur, in qua / talibus indorum fruimur bis quinque figuris."
5,5,Altitude (triangle),2,https://en.wikipedia.org/wiki/Altitude_(triangle),"in geometry, an altitude of a triangle is a line segment through a vertex and perpendicular to (i.e., forming a right angle with) a line containing the base (the side opposite the vertex). this line containing the opposite side is called the extended base of the altitude. the intersection of the extended base and the altitude is called the foot of the altitude. the length of the altitude, often simply called ""the altitude"", is the distance between the extended base and the vertex. the process of drawing the altitude from the vertex to the foot is known as dropping the altitude at that vertex. it is a special case of orthogonal projection. altitudes can be used in the computation of the area of a triangle: one half of the product of an altitude's length and its base's length equals the triangle's area. thus, the longest altitude is perpendicular to the shortest side of the triangle. the altitudes are also related to the sides of the triangle through the trigonometric functions. in an isosceles triangle (a triangle with two congruent sides), the altitude having the incongruent side as its base will have the midpoint of that side as its foot. also the altitude having the incongruent side as its base will be the angle bisector of the vertex angle. it is common to mark the altitude with the letter h (as in height), often subscripted with the name of the side the altitude is drawn to. in a right triangle, the altitude drawn to the hypotenuse c divides the hypotenuse into two segments of lengths p and q. if we denote the length of the altitude by hc, we then have the relation for acute triangles the feet of the altitudes all fall on the triangle's sides (not extended). in an obtuse triangle (one with an obtuse angle), the foot of the altitude to the obtuse-angled vertex falls in the interior of the opposite side, but the feet of the altitudes to the acute-angled vertices fall on the opposite extended side, exterior to the triangle. this is illustrated in the adjacent diagram: in this obtuse triangle, an altitude dropped perpendicularly from the top vertex, which has an acute angle, intersects the extended horizontal side outside the triangle. the three (possibly extended) altitudes intersect in a single point, called the orthocenter of the triangle, usually denoted by h. the orthocenter lies inside the triangle if and only if the triangle is acute (i.e. does not have an angle greater than or equal to a right angle). if one angle is a right angle, the orthocenter coincides with the vertex at the right angle. let a, b, c denote the vertices and also the angles of the triangle, and let a = |bc|, b = |ca|, c = |ab| be the side lengths. the orthocenter has trilinear coordinates sec ⁡ a : sec ⁡ b : sec ⁡ c = cos ⁡ a − sin ⁡ b sin ⁡ c : cos ⁡ b − sin ⁡ c sin ⁡ a : cos ⁡ c − sin ⁡ a sin ⁡ b , {\displaystyle \sec a:\sec b:\sec c=\cos a-\sin b\sin c:\cos b-\sin c\sin a:\cos c-\sin a\sin b,} and barycentric coordinates "
6,6,Angular Bisector Theorem,1,https://en.wikipedia.org/wiki/Angle_bisector_theorem,"in geometry, the angle bisector theorem is concerned with the relative lengths of the two segments that a triangle's side is divided into by a line that bisects the opposite angle. it equates their relative lengths to the relative lengths of the other two sides of the triangle. consider a triangle abc. let the angle bisector of angle a intersect side bc at a point d between b and c. the angle bisector theorem states that the ratio of the length of the line segment bd to the length of segment cd is equal to the ratio of the length of side ab to the length of side ac: and conversely, if a point d on the side bc of triangle abc divides bc in the same ratio as the sides ab and ac, then ad is the angle bisector of angle ∠ a. the generalized angle bisector theorem states that if d lies on the line bc, then this reduces to the previous version if ad is the bisector of ∠ bac. when d is external to the segment bc, directed line segments and directed angles must be used in the calculation. the angle bisector theorem is commonly used when the angle bisectors and side lengths are known. it can be used in a calculation or in a proof. an immediate consequence of the theorem is that the angle bisector of the vertex angle of an isosceles triangle will also bisect the opposite side. in the above diagram, use the law of sines on triangles abd and acd: "
7,7,Antiderivative,2,https://en.wikipedia.org/wiki/Antiderivative,"in calculus, an antiderivative, inverse derivative, primitive function, primitive integral or indefinite integral[note  ] of a function f is a differentiable function f whose derivative is equal to the original function f. this can be stated symbolically as f' = f. the process of solving for antiderivatives is called antidifferentiation (or indefinite integration), and its opposite operation is called differentiation, which is the process of finding a derivative. antiderivatives are often denoted by capital roman letters such as f and g. antiderivatives are related to definite integrals through the second fundamental theorem of calculus: the definite integral of a function over a closed interval where the function is riemann integrable is equal to the difference between the values of an antiderivative evaluated at the endpoints of the interval. in physics, antiderivatives arise in the context of rectilinear motion (e.g., in explaining the relationship between position, velocity and acceleration). the discrete equivalent of the notion of antiderivative is antidifference. the function f ( x ) = x     {\displaystyle f(x)={\tfrac {x^{ }}{ }}} is an antiderivative of f ( x ) = x   {\displaystyle f(x)=x^{ }} , since the derivative of x     {\displaystyle {\tfrac {x^{ }}{ }}} is x   {\displaystyle x^{ }} , and since the derivative of a constant is zero, x   {\displaystyle x^{ }} will have an infinite number of antiderivatives, such as x     , x     +   , x     −   {\displaystyle {\tfrac {x^{ }}{ }},{\tfrac {x^{ }}{ }}+ ,{\tfrac {x^{ }}{ }}- } , etc. thus, all the antiderivatives of x   {\displaystyle x^{ }} can be obtained by changing the value of c in f ( x ) = x     + c {\displaystyle f(x)={\tfrac {x^{ }}{ }}+c} , where c is an arbitrary constant known as the constant of integration. essentially, the graphs of antiderivatives of a given function are vertical translations of each other, with each graph's vertical location depending upon the value c. more generally, the power function f ( x ) = x n {\displaystyle f(x)=x^{n}} has antiderivative f ( x ) = x n +   n +   + c {\displaystyle f(x)={\tfrac {x^{n+ }}{n+ }}+c} if n ≠ − , and f ( x ) = ln ⁡ | x | + c {\displaystyle f(x)=\ln |x|+c} if n = − . in physics, the integration of acceleration yields velocity plus a constant. the constant is the initial velocity term that would be lost upon taking the derivative of velocity, because the derivative of a constant term is zero. this same pattern applies to further integrations and derivatives of motion (position, velocity, acceleration, and so on). antiderivatives can be used to compute definite integrals, using the fundamental theorem of calculus: if f is an antiderivative of the integrable function f over the interval [ a , b ] {\displaystyle [a,b]} , then: because of this, each of the infinitely many antiderivatives of a given function f may be called the ""indefinite integral"" of f and written using the integral symbol with no bounds: if f is an antiderivative of f, and the function f is defined on some interval, then every other antiderivative g of f differs from f by a constant: there exists a number c such that g ( x ) = f ( x ) + c {\displaystyle g(x)=f(x)+c} for all x. c is called the constant of integration. if the domain of f is a disjoint union of two or more (open) intervals, then a different constant of integration may be chosen for each of the intervals. for instance is the most general antiderivative of f ( x ) =   / x   {\displaystyle f(x)= /x^{ }} on its natural domain ( − ∞ ,   ) ∪ (   , ∞ ) . {\displaystyle (-\infty , )\cup ( ,\infty ).} "
8,8,Area under curve,3,https://en.wikipedia.org/wiki/Area_under_the_curve_(pharmacokinetics),"in the field of pharmacokinetics, the area under the curve (auc) is the definite integral of a curve that describes the variation of a drug concentration in blood plasma as a function of time (this can be done using liquid chromatography–mass spectrometry ). in practice, the drug concentration is measured at certain discrete points in time and the trapezoidal rule is used to estimate auc. the auc (from zero to infinity) represents the total drug exposure across time. auc is a useful metric when trying to determine whether two formulations of the same dose (for example a capsule and a tablet) result in equal amounts of tissue or plasma exposure. another use is in the therapeutic drug monitoring of drugs with a narrow therapeutic index. for example, gentamicin is an antibiotic that can be nephrotoxic (kidney damaging) and ototoxic (hearing damaging); measurement of gentamicin through concentrations in a patient's plasma and calculation of the auc is used to guide the dosage of this drug. auc becomes useful for knowing the average concentration over a time interval, auc/t. also, auc is referenced when talking about elimination. the amount eliminated by the body (mass) = clearance (volume/time) * auc (mass*time/volume). in pharmacokinetics, bioavailability generally refers to the fraction of drug that is absorbed systemically and is thus available to produce a biological effect. this is often measured by quantifying the ""auc"". in order to determine the respective aucs, the serum concentration vs. time plots are typically gathered using c-   labeled drugs and ams (accelerated mass spectrometry). bioavailability can be measured in terms of ""absolute bioavailability"" or ""relative bioavailability"". absolute bioavailablity refers to the bioavailability of drug when administered via a non-intravenous (non-iv) dosage form (i.e. oral tablet, suppository, subcutaneous, etc.) compared with the bioavailability of the same drug administered intravenously (iv). this is done by comparing the auc of the non-intravenous dosage form with the auc for the drug administered intravenously. this fraction is normalized by multiplying by each dosage form's respective dose. relative bioavailability compares the bioavailability between two different dosage forms. again, the relative aucs are used to make this comparison and relative doses are used to normalize the calculation. "
9,9,Arithmetic mean,1,https://en.wikipedia.org/wiki/Arithmetic_mean,"in mathematics and statistics, the arithmetic mean ( /ˌærɪθˈmɛtɪk ˈmiːn/ air-ith-met-ik) or arithmetic average, or simply just the mean or the average (when the context is clear), is the sum of a collection of numbers divided by the count of numbers in the collection. the collection is often a set of results of an experiment or an observational study, or frequently a set of results from a survey. the term ""arithmetic mean"" is preferred in some contexts in mathematics and statistics, because it helps distinguish it from other means, such as the geometric mean and the harmonic mean. in addition to mathematics and statistics, the arithmetic mean is used frequently in many diverse fields such as economics, anthropology and history, and it is used in almost every academic field to some extent. for example, per capita income is the arithmetic average income of a nation's population. while the arithmetic mean is often used to report central tendencies, it is not a robust statistic, meaning that it is greatly influenced by outliers (values that are very much larger or smaller than most of the values). for skewed distributions, such as the distribution of income for which a few people's incomes are substantially greater than most people's, the arithmetic mean may not coincide with one's notion of ""middle"", and robust statistics, such as the median, may provide better description of central tendency. given a data set x = { x   , … , x n } {\displaystyle x=\{x_{ },\ldots ,x_{n}\}} , the arithmetic mean (or mean or average), denoted x ¯ {\displaystyle {\bar {x}}} (read x {\displaystyle x} bar), is the mean of the n {\displaystyle n} values x   , x   , … , x n {\displaystyle x_{ },x_{ },\ldots ,x_{n}} . the arithmetic mean is the most commonly used and readily understood measure of central tendency in a data set. in statistics, the term average refers to any of the measures of central tendency. the arithmetic mean of a set of observed data is defined as being equal to the sum of the numerical values of each and every observation, divided by the total number of observations. symbolically, if we have a data set consisting of the values a   , a   , … , a n {\displaystyle a_{ },a_{ },\ldots ,a_{n}} , then the arithmetic mean a {\displaystyle a} is defined by the formula: (for an explanation of the summation operator, see summation.) for example, consider the monthly salary of    employees of a firm:     ,     ,     ,     ,     ,     ,     ,     ,     ,     . the arithmetic mean is if the data set is a statistical population (i.e., consists of every possible observation and not just a subset of them), then the mean of that population is called the population mean, and denoted by the greek letter μ {\displaystyle \mu } . if the data set is a statistical sample (a subset of the population), then we call the statistic resulting from this calculation a sample mean (which for a data set x {\displaystyle x} is denoted as x ¯ {\displaystyle {\overline {x}}} ). the arithmetic mean can be similarly defined for vectors in multiple dimension, not only scalar values; this is often referred to as a centroid. more generally, because the arithmetic mean is a convex combination (coefficients sum to  ), it can be defined on a convex space, not only a vector space. the arithmetic mean has several properties that make it useful, especially as a measure of central tendency. these include: "
